date,stadium,race_no,combo,odds,target,local_3ren,st,course,kimarite,motor,boat,racer_rank,odds,wind_speed,is_headwind,is_tailwind,exh_time,turn_time,water_type,in_rate,national_win_rate,national_2nd_rate
2026-08-18,三国,2,1-2-5,10.0,0,35.41,0.16333333333333336,30.0,35.0,30.0,30.0,2.0,10.0,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,2-1-5,27.7,0,35.41,0.16333333333333336,30.0,35.0,30.0,30.0,2.0,27.7,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,3-1-5,36.9,0,34.656666666666666,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,36.9,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,4-1-5,105.2,1,28.736666666666668,0.17666666666666667,30.0,35.0,30.0,30.0,2.0,105.2,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,5-1-4,120.7,0,28.736666666666668,0.17666666666666667,30.0,35.0,30.0,30.0,2.0,120.7,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,1-2-6,69.3,0,29.939999999999998,0.16,30.0,35.0,30.0,30.0,2.0,69.3,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,2-1-6,127.9,0,29.939999999999998,0.16,30.0,35.0,30.0,30.0,2.0,127.9,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,3-1-6,149.7,0,29.186666666666667,0.17,30.0,35.0,30.0,30.0,2.0,149.7,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,1-3-2,10.2,0,36.446666666666665,0.15,30.0,35.0,30.0,30.0,2.0,10.2,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,2-3-1,49.8,0,36.446666666666665,0.15000000000000002,30.0,35.0,30.0,30.0,2.0,49.8,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,3-2-1,68.0,0,36.446666666666665,0.15000000000000002,30.0,35.0,30.0,30.0,2.0,68.0,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,5-2-1,111.2,0,35.41,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,111.2,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,1-3-4,19.7,0,29.77333333333333,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,19.7,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,2-3-4,112.9,0,48.373333333333335,0.15333333333333335,30.0,35.0,30.0,30.0,2.0,112.9,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
