date,stadium,rno,combo,local_3ren,st,course,kimarite,motor,boat,racer_rank,exh_time,turn_time,water_type,in_rate,national_win_rate,national_2nd_rate,wind_speed,is_headwind,is_tailwind,grade_score,is_rough_sign,target
2026-09-05,1,1,6-4-3,44.96333333333333,0.1666666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.06,0.5,5.5,35.0,3.6,1,0,1,0,1
2026-09-05,1,1,1-5-6,50.11333333333334,0.1733333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.01,0.5,5.5,35.0,3.1,1,0,1,0,0
2026-09-05,1,1,2-5-6,41.943333333333335,0.17,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.02,0.5,5.5,35.0,3.2,1,0,1,0,0
2026-09-05,1,1,3-5-6,49.720000000000006,0.1666666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.03,0.5,5.5,35.0,3.3,1,0,1,0,0
2026-09-05,1,1,4-5-6,45.21,0.1633333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.04,0.5,5.5,35.0,3.4,1,0,1,0,0
2026-09-05,1,1,5-4-6,45.21,0.1633333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.05,0.5,5.5,35.0,3.5,1,0,1,0,0
2026-09-05,1,1,6-4-5,45.21,0.1633333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.06,0.5,5.5,35.0,3.6,1,0,1,0,0
2026-09-05,1,1,1-6-2,42.09,0.18,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.01,0.5,5.5,35.0,3.1,1,0,1,0,0
2026-09-05,1,1,2-6-1,42.09,0.18,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.02,0.5,5.5,35.0,3.2,1,0,1,0,0
2026-09-05,1,1,3-6-1,49.86666666666667,0.1766666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.03,0.5,5.5,35.0,3.3,1,0,1,0,0
2026-09-05,1,1,4-6-1,45.35666666666666,0.1733333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.04,0.5,5.5,35.0,3.4,1,0,1,0,0
2026-09-05,1,1,5-6-1,50.11333333333334,0.1733333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.05,0.5,5.5,35.0,3.5,1,0,1,0,0
2026-09-05,1,1,6-5-1,50.11333333333334,0.1733333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.06,0.5,5.5,35.0,3.6,1,0,1,0,0
2026-09-05,1,1,1-6-3,49.86666666666667,0.1766666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.01,0.5,5.5,35.0,3.1,1,0,1,0,0
2026-09-05,1,1,2-6-3,41.696666666666665,0.1733333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.02,0.5,5.5,35.0,3.2,1,0,1,0,0
2026-09-05,1,1,3-6-2,41.696666666666665,0.1733333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.03,0.5,5.5,35.0,3.3,1,0,1,0,0
2026-09-05,1,1,4-6-2,37.18666666666667,0.17,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.04,0.5,5.5,35.0,3.4,1,0,1,0,0
2026-09-05,1,1,5-6-2,41.943333333333335,0.17,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.05,0.5,5.5,35.0,3.5,1,0,1,0,0
2026-09-05,1,1,6-5-2,41.943333333333335,0.17,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.06,0.5,5.5,35.0,3.6,1,0,1,0,0
2026-09-05,1,1,1-6-4,45.35666666666666,0.1733333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.01,0.5,5.5,35.0,3.1,1,0,1,0,0
2026-09-05,1,1,2-6-4,37.18666666666667,0.17,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.02,0.5,5.5,35.0,3.2,1,0,1,0,0
2026-09-05,1,1,3-6-4,44.96333333333333,0.1666666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.03,0.5,5.5,35.0,3.3,1,0,1,0,0
2026-09-05,1,1,4-6-3,44.96333333333333,0.1666666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.04,0.5,5.5,35.0,3.4,1,0,1,0,0
2026-09-05,1,1,5-6-3,49.72,0.1666666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.05,0.5,5.5,35.0,3.5,1,0,1,0,0
2026-09-05,1,1,6-5-3,49.72,0.1666666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.06,0.5,5.5,35.0,3.6,1,0,1,0,0
2026-09-05,1,1,1-6-5,50.11333333333334,0.1733333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.01,0.5,5.5,35.0,3.1,1,0,1,0,0
2026-09-05,1,1,2-6-5,41.943333333333335,0.17,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.02,0.5,5.5,35.0,3.2,1,0,1,0,0
2026-09-05,1,1,3-6-5,49.72,0.1666666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.03,0.5,5.5,35.0,3.3,1,0,1,0,0
2026-09-05,1,1,4-6-5,45.21,0.1633333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.04,0.5,5.5,35.0,3.4,1,0,1,0,0
2026-09-05,1,1,5-6-4,45.21,0.1633333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.05,0.5,5.5,35.0,3.5,1,0,1,0,0
2026-09-05,1,1,6-5-4,45.21,0.1633333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.06,0.5,5.5,35.0,3.6,1,0,1,0,0
2026-09-05,1,2,1-2-3,39.67666666666667,0.18,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.01,0.5,5.5,35.0,2.1,1,0,1,0,0
2026-09-05,1,2,2-1-3,39.67666666666667,0.18,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.02,0.5,5.5,35.0,2.2,1,0,1,0,0
2026-09-05,1,2,3-1-2,39.67666666666667,0.18,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.03,0.5,5.5,35.0,2.3,1,0,1,0,0
2026-09-05,1,2,4-1-2,30.416666666666668,0.1833333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.04,0.5,5.5,35.0,2.4,1,0,1,0,0
2026-09-05,1,2,5-1-2,50.93,0.19,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.05,0.5,5.5,35.0,2.5,1,0,1,0,0
2026-09-05,1,2,6-1-2,47.083333333333336,0.18,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.06,0.5,5.5,35.0,2.6,1,0,1,0,0
2026-09-05,1,2,1-2-4,30.416666666666668,0.1833333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.01,0.5,5.5,35.0,2.1,1,0,1,0,0
2026-09-05,1,2,2-1-4,30.416666666666668,0.1833333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.02,0.5,5.5,35.0,2.2,1,0,1,0,0
2026-09-05,1,2,3-1-4,19.676666666666662,0.1866666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.03,0.5,5.5,35.0,2.3,1,0,1,0,0
2026-09-05,1,2,4-1-3,19.676666666666662,0.1866666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.04,0.5,5.5,35.0,2.4,1,0,1,0,0
2026-09-05,1,2,5-1-3,40.19,0.1933333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.05,0.5,5.5,35.0,2.5,1,0,1,0,0
2026-09-05,1,2,6-1-3,36.34333333333333,0.1833333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.06,0.5,5.5,35.0,2.6,1,0,1,0,0
